Parttype (category),Parttype URL (category),Make,Make URL,Model,Model URL,Series,Year,Engine cc,Type,PartNumber
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8PBYT 8PBZB,07/4-,,,"EIP122
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8PCDA,08/9-,,,"EIP122
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8PAXW,03/9-,,,"EIP122
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8PBLX,03/9-,,,"EIP122
EIP132"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8PBLR 8PVVY,05/07-,,,"EIP122
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8PAXX 8PBWA,04/10-,,,"EIP122
EIP132"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8PCCZF,08/9-,,,"EIP122
EIP132"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8PBDBF,03/12-,,,"EIP122
EIP132"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A3 SEDAN,,8VCXSL,14/1-,,,"
"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8VCPTL,14/1-,,,"
"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8VCJSL,14/1-,,,"
"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A3 SPORTBAＣK,,8VCXS,13/9-,,,"
"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8VCPT,14/4-,,,"
"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8VCJSF,13/9-,,,"
"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A4,,8DADR 8DAPT,94-01,,,"EIP024
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8DADR 8DAPT,94-01,,,"EIP101
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8DADR 8DAPT,94-01,,,"EIP101
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,94-01,,,"EIP024
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,94-01,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8DAEBF,95-01/6,,,"EIP024
EIP043"
