partnumber,VehicleRawProperties,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,Brand,UvdbFromYearID,UvdbToYearID,Action,,,,,,,,,,,,,,,,
SPPCF30036B,"{""VW Golf Mk 5 (1K)"":""Hatchback (4Motion ) 2.0FSi2.0TFSi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,56,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF28036B,"{""VW Golf Mk 5 (1K)"":""Hatchback (4Motion ) R32 3.2V6Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,57,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF37036B,"{""VW Golf Mk 6 (5K)"":""Cabriolet (2WD) 1.41.6,1.2TSi,1.4TSi,1.8TSi,2.0TFSi,1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,58,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF36036B,"{""VW Golf Mk 6 (5K)"":""Estate (2WD) 1.41.6,1.2TSi,1.4TSi,1.8TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,59,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF34036B,"{""VW Golf Mk 6 (5K)"":""Estate (2WD) 1.6TDi2.0TDi,2.0GTD,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,60,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF32036B,"{""VW Golf Mk 6 (5K)"":""Estate (2WD) 2.0TSi GTi2.0TFSi GTi Edition 35,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,61,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF35036B,"{""VW Golf Mk 6 (5K)"":""Estate (4Motion ) 2.0TDiWill only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,62,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF36036B,"{""VW Golf Mk 6 (5K)"":""Hatchback (2WD) 1.41.6,1.2TSi,1.4TSi,1.8TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,63,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF34036B,"{""VW Golf Mk 6 (5K)"":""Hatchback (2WD) 1.6TDi2.0TDi,2.0GTD,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,64,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF32036B,"{""VW Golf Mk 6 (5K)"":""Hatchback (2WD) 2.0TSi GTi2.0TFSi GTi Edition 35,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,65,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
