partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
470008,FORD Focus 1.0/1.5 18-,FORD Focus 1.0/1.5 ,,,,2018,,,,,,,,,"{""make"": ""FORD"", ""model"": ""Focus"", ""engine"": ""1.0/1.5""}","{""make"": ""FORD"", ""model"": ""Focus"", ""engine"": ""1.0/1.5""}"
470009,OPEL Astra 1.4 15-,OPEL Astra 1.4 ,,,,2015,,,,,,,,,"{""make"": ""OPEL"", ""model"": ""Astra"", ""engine"": ""1.4""}","{""make"": ""OPEL"", ""model"": ""Astra"", ""engine"": ""1.4""}"
470010,VW POLO/SEAT LEON 1.0-1.6 2012-,VW POLO/SEAT LEON 1.0-1.6 ,,,,2012,,,,,,,,,"{""make"": ""VW"", ""model"": ""POLO/SEAT"", ""engine"": ""LEON""}","{""make"": ""VW"", ""model"": ""POLO/SEAT"", ""engine"": ""LEON""}"
470011,VW Golf 1.6D 13-,VW Golf 1.6D ,,,,2013,,,,,,,,,"{""make"": ""VW"", ""model"": ""Golf"", ""engine"": ""1.6D""}","{""make"": ""VW"", ""model"": ""Golf"", ""engine"": ""1.6D""}"
470012,DACIA LOGAN\RENAULT CLIO 0.9-1.6 2012,DACIA LOGAN\RENAULT CLIO 0.9-1.6,,,,,,,,,,,,,"{""make"": ""DACIA"", ""model"": ""LOGAN\\RENAULT"", ""engine"": ""CLIO""}","{""make"": ""DACIA"", ""model"": ""LOGAN\\RENAULT"", ""engine"": ""CLIO""}"
470013,RENAULT Master 2.3D 10-,RENAULT Master 2.3D ,,,,2010,,,,,,,,,"{""make"": ""RENAULT"", ""model"": ""Master"", ""engine"": ""2.3D""}","{""make"": ""RENAULT"", ""model"": ""Master"", ""engine"": ""2.3D""}"
470014,ALFA-ROMEO Gulietta 1.6/2.0D 2012-,ALFA-ROMEO Gulietta 1.6/2.0D ,,,,2012,,,,,,,,,"{""make"": ""ALFA-ROMEO"", ""model"": ""Gulietta"", ""engine"": ""1.6/2.0D""}","{""make"": ""ALFA-ROMEO"", ""model"": ""Gulietta"", ""engine"": ""1.6/2.0D""}"
470015,AUDI Q5 3.0D 09-,AUDI Q5 3.0D ,,,,2009,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""Q5"", ""engine"": ""3.0D""}","{""make"": ""AUDI"", ""model"": ""Q5"", ""engine"": ""3.0D""}"
470016,Honda Jazz 2008-,Honda Jazz ,,,,2008,,,,,,,,,"{""make"": ""Honda"", ""model"": ""Jazz"", ""engine"": """"}","{""make"": ""Honda"", ""model"": ""Jazz"", ""engine"": """"}"
470017,RENAULT Megane 16-,RENAULT Megane ,,,,2016,,,,,,,,,"{""make"": ""RENAULT"", ""model"": ""Megane"", ""engine"": """"}","{""make"": ""RENAULT"", ""model"": ""Megane"", ""engine"": """"}"
470018,FIAT Tipo 16-,FIAT Tipo ,,,,2016,,,,,,,,,"{""make"": ""FIAT"", ""model"": ""Tipo"", ""engine"": """"}","{""make"": ""FIAT"", ""model"": ""Tipo"", ""engine"": """"}"
470019,Mercedes S-callse 2013-,Mercedes S-callse ,,,,2013,,,,,,,,,"{""make"": ""Mercedes"", ""model"": ""S-callse"", ""engine"": """"}","{""make"": ""Mercedes"", ""model"": ""S-callse"", ""engine"": """"}"
47002,FORD Mondeo 1.8 97-,FORD Mondeo 1.8 ,,,,1997,,,,,,,,,"{""make"": ""FORD"", ""model"": ""Mondeo"", ""engine"": ""1.8""}","{""make"": ""FORD"", ""model"": ""Mondeo"", ""engine"": ""1.8""}"
