partnumber,name,description,images,retailprice,parttype,Brand,sku,Barcode,EAN,WeightGrams,DimensionsLengthMM,DimensionsWidthMM,DimensionsHeightMM,Gtin14
470043,JEEP Wrangler 2.0 18-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470043,,'8718042367600,,,,,
470044,OPEL Insignia 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470044,,'8718042367624,,,,,
470045,VOLVO XC40 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470045,,'8718042367648,,,,,
470046,AUDI A4 2.0D 15-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470046,,'8718042367662,,,,,
470047,Mercedes GLC 2.2D 2016-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470047,,'8718042368041,,,,,
470048,BMW M3 4.0 2005-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470048,,'8718042368065,,,,,
470049,VW Tuareg 3.0D 2010-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470049,,'8718042368089,,,,,
47005,FORD Mondeo 1.8 01-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/47005_1500x1000_WM_001_1.jpg,,,NRF,47005,,'8718042029041,,,,,
470050,MERCEDES C/E/GL classe 1.6-2.1 2014-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470050,,'8718042368102,,,,,
470051,AUDI Q5 3.0D 09-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470051,,'8718042368126,,,,,
470052,Citroen C8/Jumpy 2002-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470052,,'8718042368140,,,,,
470053,TOYOTA YARIS 1.0/1.3 2005-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470053,,'8718042368164,,,,,
470054,AUDI Q5 3.0D 09-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470054,,'8718042369024,,,,,
470055,HYUNDAI Getz 1.1 02-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470055,,'8718042369161,,,,,
470056,OPEL ADAM/CORSA 1.2/1.4 2007-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470056,,'8718042370167,,,,,
470057,Opel Astra 1.4/1.6 2004-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470057,,'8718042370181,,,,,
470058,DACIA DOKKER\REN CLIO 1.2-1.6 2012-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470058,,'8718042370204,,,,,
470059,Mercedes Vito/Viano 2004-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470059,,'8718042370228,,,,,
47006,FORD Fiesta 1.4D 02-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/47006_1500x1000_WM_001_1.jpg,,,NRF,47006,,'8718042029058,,,,,
470060,Renault Twingo 0.9/1.0 2014-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470060,,'8718042370242,,,,,
470061,Dacia Duster 1.5D 2010-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470061,,'8718042370266,,,,,
470062,Dacia loggy 1.6 2012-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470062,,'8718042370280,,,,,
470063,Smart Fortwo 0.7 2004-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470063,,'8718042370303,,,,,
470064,VW T5 2003-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470064,,'8718042370327,,,,,
470065,Mercedes S-classe 4.7-6.0 2013-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470065,,'8718042371362,,,,,
470067,TOYOTA RAV4 2.5 Hybrid 19-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470067,,'8718042377388,,,,,
470068,TESLA 3 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470068,,'8718042377401,,,,,
470069,KIA Ceed 1.6D 18-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470069,,'8718042377425,,,,,
47007,FORD Fiesta 1.4D 02-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/47007_1500x1000_WM_001_1.jpg,,,NRF,47007,,'8718042029065,,,,,
470070,Mercedes A class 2018-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470070,,'8718042377449,,,,,
470071,FORD Transit 2.0D 13-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470071,,'8718042377463,,,,,
470072,FORD Transit 2.0D 13-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470072,,'8718042377487,,,,,
470073,Volvo XC90 2.0D 2015-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470073,,'8718042377500,,,,,
470074,JEEP Cherokee 2.2D 13-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470074,,'8718042377524,,,,,
